Part_Number,R1_Ohm,R2_Ohm,C_pF,L_nH,k,Upper_limit_MHz
0805HP-2N6,5.00,0.0150,0.1080,2.598,5.700E-06,10000
0805HP-6N2,5.00,0.0270,0.0790,6.193,1.070E-05,10000
0805HP-6N8,10.0,0.0660,0.1040,6.788,1.230E-05,10000
0805HP-11N,10.0,0.0390,0.1025,10.97,1.460E-05,10000
0805HP-12N,20.0,0.0390,0.1085,11.96,1.640E-05,10000
0805HP-13N,20.0,0.0390,0.1170,12.95,1.780E-05,10000
0805HP-18N,20.0,0.0500,0.1050,17.92,2.350E-05,10000
0805HP-33N,8.00,0.0870,0.1300,32.65,4.180E-05,5000
0805HP-47N,3.20,0.0930,0.1155,46.60,5.440E-05,5000
0805HP-56N,8.00,0.1220,0.1400,55.32,6.480E-05,5000
0805HP-82N,9.10,0.1680,0.1350,81.20,8.640E-05,2000
0805HP-101,7.40,0.2200,0.1310,98.85,1.064E-04,2000
0805HP-121,4.12,0.2930,0.1350,118.3,1.224E-04,2000
0805HP-151,10.0,0.2880,0.1350,148.8,1.554E-04,2000
0805HP-181,9.10,0.3740,0.1350,178.3,1.914E-04,2000
0805HP-221,12.8,0.4260,0.1345,217.5,2.374E-04,2000
0805HP-271,15.0,0.7540,0.1380,266.1,1.454E-04,1000
0805HP-331,16.6,1.004,0.1315,324.4,2.734E-04,1000
0805HP-391,9.80,1.110,0.1350,382.1,3.374E-04,1000
0805HP-471,14.6,1.559,0.1310,467.2,3.874E-04,1000
0805HP-561,26.0,2.067,0.1500,558.8,5.374E-04,1000
0805HP-681,17.6,2.355,0.1300,678.5,6.654E-04,1000
0805HP-821,28.8,3.945,0.1300,817.8,6.114E-04,1000
