Time_s,V_source,V_node,V_out,I_ser,P_ser_W,P_ref_W,I_res1,I_res2,I_res3,I_res4,I_res5,I_res6,I_res7,I_res8
0.0,0.005470531151916538,0.002313765636641904,0.024428602425054697,-0.00022114836788412781,4.8906600617813535e-06,2.290962511902446e-05,-2.1151047156510628e-05,-5.114421635110306e-06,4.351019806948192e-06,-7.74504141675508e-06,-2.8496956708250835e-05,-3.4757707778715884e-05,-2.906466215504464e-05,-1.4362145132962325e-05
9.247750946969698e-12,0.00546657504653455,0.002311865022125155,0.024407931808013716,-0.0002209606678588855,4.882361674064472e-06,2.283072683888391e-05,-2.2273136290035818e-05,-6.605286294285071e-06,3.1219954106333066e-06,-8.054056076606736e-06,-2.811575089568213e-05,-3.4003945929798344e-05,-2.8228780216699653e-05,-1.3825847255159847e-05
1.8495501893939395e-11,0.005456951006798183,0.002309511707831749,0.024387647453260063,-0.00022078135745428313,4.874440779935594e-06,2.2752548429765487e-05,-2.339498613080706e-05,-8.095765971310831e-06,1.892987343705051e-06,-8.362747792765363e-06,-2.7732485952795332e-05,-3.3246489824279315e-05,-2.738881729506676e-05,-1.3287308392273852e-05
2.7743252840909093e-11,0.005441689614203328,0.002306708579800778,0.024367753137139278,-0.00022061044557338493,4.8668968696087434e-06,2.26750877055807e-05,-2.4516589172107867e-05,-9.585833739347678e-06,6.640399535435409e-07,-8.671091409571046e-06,-2.734718545533979e-05,-3.248542366003763e-05,-2.6544904189576895e-05,-1.2746632996212871e-05
3.699100378787879e-11,0.00542083935662575,0.00230346004547682,0.02434825262108859,-0.00022044792575611754,4.859728797017471e-06,2.2598341064459674e-05,-2.563793878944669e-05,-1.1075463906429577e-05,-5.648032533834507e-07,-8.979062459940169e-06,-2.6959873748351554e-05,-3.172083264641441e-05,-2.569717289662984e-05,-1.2203926492076989e-05
4.623875473484849e-11,0.005394466494714718,0.002299772021533831,0.024329149640855394,-0.00022029377619321554,4.852934782946653e-06,2.2522303502294808e-05,-2.6759029212175904e-05,-1.2564631980000653e-05,-1.7934995842997714e-06,-9.286637142680921e-06,-2.6570575921427852e-05,-3.0952802970864724e-05,-2.4845756564220875e-05,-1.1659295231956554e-05
5.5486505681818185e-11,0.005362654879204509,0.0022956519175531716,0.024310447896078495,-0.0002201479597852532,4.846512419760946e-06,2.2446968629932205e-05,-2.7879855494978516e-05,-1.4053314630896085e-05,-3.0220071329256504e-06,-9.593792299950236e-06,-2.6179317784202908e-05,-3.018142176582055e-05,-2.3990789446793018e-05,-1.1112846449017016e-05
6.473425662878788e-11,0.0053255057195233406,0.0022911086155880138,0.024292151040231833,-0.00022001042424643798,4.840458677709762e-06,2.237232869395494e-05,-2.9000413489382115e-05,-1.5541489656994716e-05,-4.250284752459291e-06,-9.900505394974963e-06,-2.5786125842137746e-05,-2.9406777075877338e-05,-2.3132406860428447e-05,-1.0564688211983113e-05
7.398200757575758e-11,0.005283137304175787,0.0022861524456544453,0.024274262670928057,-0.00021988110225273593,4.834769912787812e-06,2.2298374600998372e-05,-3.0120699815449398e-05,-1.702913594675482e-05,-5.4782920288763835e-06,-1.0206754490148796e-05,-2.5391027272727047e-05,-2.862895782540675e-05,-2.2270745138482345e-05,-1.0014929380125817e-05
8.322975852272728e-11,0.005235684673478534,0.002280795157198118,0.024256786320578247,-0.00021975991163380125,4.8294418761296136e-06,2.2225095945530266e-05,-3.1240711833779366e-05,-1.851623344283066e-05,-6.705989254674119e-06,-1.0512518225607145e-05,-2.4994049902215134e-05,-2.784805378668808e-05,-2.1405941587752405e-05,-9.463679558845145e-06
9.247750946969698e-11,0.0051832992453289305,0.002275049886594108,0.024239725447402043,-0.00021964675560807908,4.8244697249155215e-06,2.215248104102724e-05,-3.2360447617943696e-05,-2.0002763105951038e-05,-7.933337403174537e-06,-1.081777579836924e-05,-2.4595222182903438e-05,-2.7064155548639643e-05,-2.053813444526643e-05,-8.91104905593117e-06
1.0172526041666667e-10,0.005126148394789185,0.0022689311207456783,0.02422308342678152,-0.00021954152306035836,4.819848034766186e-06,2.208051695447024e-05,-3.34799059274672e-05,-2.1488706879226264e-05,-9.160298103488307e-06,-1.1122506942126094e-05,-2.4194573171119693e-05,-2.627735448622088e-05,-1.9667462835759285e-05,-8.357148838574476e-06
1.1097301136363637e-10,0.005064414988364912,0.002262454656856289,0.024206863542950825,-0.00021944408886094525,4.8155708136010436e-06,2.2009189544080364e-05,-3.459908618144881e-05,-2.2974047653029906e-05,-1.0386833616224759e-05,-1.1426691907741005e-05,-2.3792132505908727e-05,-2.5487742730564377e-05,-1.8794066729899584e-05,-7.802090491186416e-06
1.2022076231060607e-10,0.004998296873962259,0.002255637558457876,0.024191068981012736,-0.00021935431422554844,4.811631516936064e-06,2.193848350020938e-05,-3.571798843290415e-05,-2.445876923058716e-05,-1.1612906810021404e-05,-1.1730311444516584e-05,-2.3387930388492975e-05,-2.4695413139885987e-05,-1.791808690331474e-05,-7.245986174077736e-06
1.2946851325757575e-10,0.004928006327602038,0.0022484981077861553,0.024175702819272372,-0.00021927204711486202,4.808023064594227e-06,2.1868382389294675e-05,-3.683661334389783e-05,-2.594285629438107e-05,-1.2838481138950272e-05,-1.2033346782270681e-05,-2.298199756253902e-05,-2.390045927120924e-05,-1.703966489645171e-05,-6.688948583033031e-06
1.3871626420454546e-10,0.004853769458072419,0.0022410557546029123,0.0241607680218781,-0.0002191971226727517,4.804737858801335e-06,2.179886870078496e-05,-3.795496216151817e-05,-2.7426294373470317e-05,-1.4063520620845467e-05,-1.233577961425121e-05,-2.257436529525576e-05,-2.3102975352929183e-05,-1.615894297529948e-05,-6.1310909098068205e-06
1.4796401515151516e-10,0.004775825570797085,0.002233331061572868,0.024146267431758617,-0.00021912936370185735,4.801767803638087e-06,2.1729923896934955e-05,-3.9073036694732766e-05,-2.8909069811794285e-05,-1.528798981657953e-05,-1.263759208090718e-05,-2.216506535933734e-05,-2.2303056258229113e-05,-1.5276064092987374e-05,-5.572526803555792e-06
1.5721176609848486e-10,0.004694426492295156,0.0022253456463112915,0.024132203763845596,-0.00021906858117534315,4.7991043258177915e-06,2.166152846536545e-05,-4.0190839292148706e-05,-3.0391169737519827e-05,-1.6511853810304347e-05,-1.2938766754522068e-05,-2.175413001575347e-05,-2.150079747935253e-05,-1.4391171852262645e-05,-5.0133703332103615e-06
1.6645951704545457e-10,0.0046098358567036035,0.0022171221202268456,0.024118579598571097,-0.0002190145747834424,4.796738396757209e-06,2.1593661974277645e-05,-4.1308372820687196e-05,-3.187258203346827e-05,-1.773507819065586e-05,-1.3239286624702908e-05,-2.134159199737814e-05,-2.0696295102721125e-05,-1.350441046883922e-05,-4.453735950777728e-06
1.7570726799242425e-10,0.004522328355930868,0.002208684024291859,0.024105397375628466,-0.00021896713351336598,4.794660555906025e-06,2.152630313020608e-05,-4.242564064516873e-05,-3.33532953086402e-05,-1.895762903290992e-05,-1.3539135084707025e-05,-2.0927484493436755e-05,-1.9889645784879438e-05,-1.2615924735598724e-05,-3.893738455557672e-06
1.8495501893939395e-10,0.004432188955101751,0.0022000557618807193,0.024092659387987013,-0.00021892603626106293,4.792860935298024e-06,2.14594298381889e-05,-4.354264660878904e-05,-3.48332988708386e-05,-2.0179472882060723e-05,-1.3838295918577679e-05,-2.0511841134741777e-05,-1.9080946729235355e-05,-1.1725859987614453e-05,-3.333492959241965e-06
1.9420276988636365e-10,0.004339712075049102,0.002191262528824634,0.02408036777614976,-0.00021889105247325114,4.7913292852847585e-06,2.1393019264228867e-05,-4.465939501445549e-05,-3.6312582700372566e-05,-2.1400576736782526e-05,-1.4136753289048175e-05,-2.0094695979675907e-05,-1.827029566355651e-05,-1.0834362067959063e-05,-2.7731148518581646e-06
2.0345052083333333e-10,0.004245200743696971,0.0021823302408391547,0.0240685245226454,-0.00021886194281806252,4.790055001409687e-06,2.132704789991255e-05,-4.577589060693872e-05,-3.779113742480549e-05,-2.262090803422054e-05,-1.4434491726163722e-05,-1.9676083500872777e-05,-1.7457790818172014e-05,-9.941577294246473e-06,-2.2127197685087917e-06
