Time_s,V_source,V_node,V_out,I_ser,P_ser_W,P_ref_W,I_res1,I_res2,I_res3,I_res4,I_res5
0.0,0.005470531151916538,0.0013332340367265066,0.011471363090932189,-0.00010138129054205675,1.0278166071972925e-06,2.290962511902446e-05,-0.00010018012699882008,-4.238633968931904e-05,-4.39403965961819e-05,1.55777358867411e-05,-1.4427979406520552e-05
9.247750946969698e-12,0.00546657504653455,0.0013340722516666768,0.011486884748338805,-0.00010152812496672132,1.030796015925818e-06,2.283072683888391e-05,-0.00010282544248543395,-4.335667431143394e-05,-4.504024449070254e-05,1.5390231529082673e-05,-1.4907734957796438e-05
1.8495501893939395e-11,0.005456951006798183,0.0013344961832616037,0.011503300322142217,-0.00010168804138880618,1.034045776149156e-06,2.2752548429765487e-05,-0.00010546950006165412,-4.4325840681377505e-05,-4.6138093479932926e-05,1.5202498712201923e-05,-1.5387017850532186e-05
2.7743252840909093e-11,0.005441689614203328,0.001334508645391076,0.011520612635138611,-0.00010186103989747536,1.0375671448995067e-06,2.26750877055807e-05,-0.00010811226112762305,-4.529380557368735e-05,-4.723389523471081e-05,1.5014567139901206e-05,-1.586581784946185e-05
3.699100378787879e-11,0.00542083935662575,0.0013341139739244598,0.011538824502933979,-0.00010204710529009525,1.0413611698087788e-06,2.2598341064459674e-05,-0.00011075368769102542,-4.62605364297067e-05,-4.832760236360301e-05,1.482646580946241e-05,-1.6344125877301998e-05
4.623875473484849e-11,0.005394466494714718,0.001333318014499421,0.011557938722566656,-0.00010224620708067243,1.0454286862383748e-06,2.2522303502294808e-05,-0.00011339374236452261,-4.722600135501205e-05,-4.941916841109496e-05,1.4638223013064483e-05,-1.68219340124399e-05
5.5486505681818185e-11,0.005362654879204509,0.001332128106131806,0.01157795806118718,-0.00010245829955055371,1.0497703146790995e-06,2.2446968629932205e-05,-0.0001160323883628794,-4.819016911635786e-05,-5.050854785491335e-05,1.4449866339847486e-05,-1.729923548530061e-05
6.473425662878788e-11,0.0053255057195233406,0.0013305530606896878,0.011598885244807748,-0.00010268332184118067,1.054386458433949e-06,2.237232869395494e-05,-0.00011866958949980703,-4.915300913816514e-05,-5.159569610251641e-05,1.4261422678594973e-05,-1.7776024673446273e-05
7.398200757575758e-11,0.005283137304175787,0.001328603138272933,0.011620722947133262,-0.00010292119808860335,1.059277301599353e-06,2.2298374600998372e-05,-0.00012130531018454377,-5.011449149857278e-05,-5.268056948678267e-05,1.4072918221012075e-05,-1.8252297095455158e-05
8.322975852272728e-11,0.005235684673478534,0.0013262900185486374,0.01164347377848546,-0.00010317183759936833,1.064442807363043e-06,2.2225095945530266e-05,-0.00012393951541818333,-5.1074586925069045e-05,-5.376312526092238e-05,1.3884378465580626e-05,-1.8728049403619153e-05
9.247750946969698e-11,0.0051832992453289305,0.0013236267681009514,0.011667140274831634,-0.00010343513506730684,1.0698827166392008e-06,2.215248104102724e-05,-0.00012657217078976155,-5.203326678971186e-05,-5.484332159262927e-05,1.3695828221979216e-05,-1.920327937549286e-05
1.0172526041666667e-10,0.005126148394789185,0.0013206278038626904,0.011691724886929043,-0.00010371097083066355,1.0755965470638745e-06,2.208051695447024e-05,-0.0001292032424721064,-5.299050310394463e-05,-5.592111755748524e-05,1.3507291616060673e-05,-1.9677985904318954e-05
1.1097301136363637e-10,0.005064414988364912,0.0013173088527043395,0.01171722996959619,-0.0001039992111689185,1.0815835923757302e-06,2.2009189544080364e-05,-0.00013183269721744583,-5.394626851300641e-05,-5.699647313162357e-05,1.3318792095384468e-05,-2.0152168988347153e-05
1.2022076231060607e-10,0.004998296873962259,0.001313686907264975,0.01174365777112206,-0.00010429970863857078,1.0878429222090755e-06,2.193848350020938e-05,-0.0001344605023527695,-5.49005362899325e-05,-5.80693491836501e-05,1.3130352435307327e-05,-2.0625829719057132e-05
1.2946851325757575e-10,0.004928006327602038,0.001309780178117604,0.011771010422824392,-0.00010461230244706791,1.0943733823276811e-06,2.1868382389294675e-05,-0.0001370866257749313,-5.585328032913539e-05,-5.913970746581715e-05,1.2941994745639984e-05,-2.1098970268287505e-05
1.3871626420454546e-10,0.004853769458072419,0.0013056080423702527,0.011799289928768376,-0.00010493681886398126,1.1011735953292014e-06,2.179886870078496e-05,-0.00013971103594547724,-5.6804475139551354e-05,-6.020751060443792e-05,1.2753740477882595e-05,-2.1571593874266327e-05
1.4796401515151516e-10,0.004775825570797085,0.001301190988812327,0.011828498155657126,-0.00010527307166844784,1.1082419618510154e-06,2.1729923896934955e-05,-0.00014233370188517592,-5.775409583733481e-05,-6.127272208952354e-05,1.2565610433056942e-05,-2.20437048265316e-05
1.5721176609848486e-10,0.004694426492295156,0.0012965505597239994,0.011858636822905692,-0.00010562086263181684,1.1155766623089123e-06,2.166152846536545e-05,-0.00014495459316822727,-5.8702118138075306e-05,-6.233530626362116e-05,1.2377624770156639e-05,-2.251530844972266e-05
1.6645951704545457e-10,0.0046098358567036035,0.0012917092894746483,0.011889707492910667,-0.0001059799820343602,1.123175659200331e-06,2.1593661974277645e-05,-0.00014757367991611816,-5.9648518348511895e-05,-6.339522830982445e-05,1.21898030152418e-05,-2.298641108621777e-05
1.7570726799242425e-10,0.004522328355930868,0.0012866906400447983,0.011921711561527703,-0.00010635020921482904,1.1310367000037907e-06,2.152630313020608e-05,-0.00015019093279109482,-6.059327335771206e-05,-6.445245423892603e-05,1.200216407120815e-05,-2.3457020077586958e-05
1.8495501893939395e-10,0.004432188955101751,0.001281518933613485,0.011954650248769762,-0.00010673131315156285,1.1391573207056973e-06,2.14594298381889e-05,-0.00015280632298921013,-6.153636062768263e-05,-6.55069508756737e-05,1.1814726228263157e-05,-2.3927143744822994e-05
1.9420276988636365e-10,0.004339712075049102,0.001276219282361367,0.011988524589739449,-0.00010712305307378077,1.1475348499848053e-06,2.1393019264228867e-05,-0.00015541982223291021,-6.24777581833736e-05,-6.655868584409211e-05,1.1627507175146263e-05,-2.439679136730902e-05
2.0345052083333333e-10,0.004245200743696971,0.0012708175156476624,0.012023335425809046,-0.00010752517910161387,1.156166414083414e-06,2.132704789991255e-05,-0.00015803140276311438,-6.341744460203672e-05,-6.760762755182601e-05,1.1440524011131841e-05,-2.4865973160476777e-05
2.1269827178030304e-10,0.004148965718270208,0.0012653401047261852,0.012059083396062643,-0.00010793743291336463,1.165048942392709e-06,2.1261491629048986e-05,-0.00016064103733074553,-6.435539900189542e-05,-6.865374517345962e-05,1.1253793258855552e-05,-2.5334700252104777e-05
2.2194602272727274e-10,0.004051324580354522,0.0012598140851739893,0.012095768929015125,-0.00010835954843841135,1.1741791737776417e-06,2.1196325796184757e-05,-0.0001632486991876616,-6.529160103008288e-05,-6.969700863276492e-05,1.1067330878007528e-05,-2.5802984657203546e-05
2.3119377367424244e-10,0.003952600805913434,0.0012542669772127285,0.012133392234623452,-0.00010879125257410721,1.183553663664319e-06,2.113152527684442e-05,-0.00016585436207694278,-6.62260308498036e-05,-7.073738858382794e-05,1.0881152279935868e-05,-2.6270839251431806e-05
2.4044152462121215e-10,0.0038531228124533724,0.0012487267041104001,0.012171953296606176,-0.00010923226592495785,1.1931687919100707e-06,2.106706454934101e-05,-0.00016845800022248115,-6.715866912667236e-05,-7.177485639100449e-05,1.0695272343204925e-05,-2.673827774298602e-05
2.4968927556818185e-10,0.0037532229856104713,0.0012432215088577284,0.012211451865087732,-0.00010968230356230005,1.2030207714732539e-06,2.1002917767994533e-05,-0.00017105958831782728,-6.808949701418486e-05,-7.280938410765414e-05,1.0509705430153552e-05,-2.7205314642904794e-05
2.589370265151515e-10,0.003653236687504569,0.001237779869320429,0.012251887449584614,-0.0001101410758026418,1.2131056578963285e-06,2.0939058837590965e-05,-0.00017365910151424013,-6.901849613827504e-05,-7.384094445360258e-05,1.032446540449662e-05,-2.7671965233728977e-05
2.681847774621212e-10,0.0035535012492867997,0.0012324304120744517,0.012293259312351012,-0.00011060828900276563,1.2234193596119324e-06,2.0875461488907455e-05,-0.00017625651540789503,-6.994564858091285e-05,-7.486951079128292e-05,1.0139565650013942e-05,-2.8138245536459854e-05
2.774325284090909e-10,0.0034543549503739317,0.0012272018251379383,0.012335566462102283,-0.00011108364636964343,1.2339576490775996e-06,2.0812099355125103e-05,-0.00017885180602619829,-7.087093686270153e-05,-7.589505710050998e-05,9.955019090367527e-06,-2.8604172275758318e-05
2.866802793560606e-10,0.0033561359869309433,0.0012221227698189518,0.012378807648134517,-0.00011156684878315565,1.244716174740352e-06,2.074894604894364e-05,-0.00018144494981316337,-7.179434392443071e-05,-7.69175579518413e-05,9.770838210086496e-06,-2.9069762843330712e-05
2.959280303030303e-10,0.0032591814322266636,0.0012172217919036194,0.012422981354859738,-0.00011205759562956119,1.2556904738278252e-06,2.0685975240207725e-05,-0.0001840359236138066,-7.271585310754843e-05,-7.793698847848416e-05,9.587035076756917e-06,-2.9535035259450698e-05
3.0517578125e-10,0.003163826191547632,0.001212527232414469,0.012468085796775854,-0.00011255558564361392,1.2668759859576907e-06,2.0623160733848685e-05,-0.00018662470465751705,-7.363544813351483e-05,-7.89533243467112e-05,9.403621364448936e-06,-3.000000813256967e-05
3.1442353219696973e-10,0.003070401954406279,0.0012080671381731922,0.01251411891389138,-0.00011306051775718186,1.2782680675522034e-06,2.0560476547941536e-05,-0.00018921127054036553,-7.455311308200627e-05,-7.996654172475003e-05,9.220608378411406e-06,-3.0464700616974004e-05
3.2367128314393943e-10,0.0029792361468347506,0.0012038691724065124,0.012561078367624913,-0.00011357209195218411,1.2898620070395364e-06,2.0497896991670746e-05,-0.00019179559920631714,-7.546883236794072e-05,-8.097661725012023e-05,9.038007081058523e-06,-3.092913236845289e-05
3.3291903409090914e-10,0.0028906508865919325,0.0011999605256372953,0.012608961537199646,-0.00011409001011562354,1.301653040818308e-06,2.0435396742995658e-05,-0.0001943776689273167,-7.638259071730133e-05,-8.198352799539409e-05,8.855828119268196e-06,-3.1393323497946905e-05
3.421667850378788e-10,0.002804961944160184,0.0011963678271068978,0.012657765516553243,-0.00011461397689446343,1.3136363699564596e-06,2.0372950925801448e-05,-0.00019695745828222222,-7.729437314174075e-05,-8.298725143236685e-05,8.674081853007218e-06,-3.185729452315617e-05
3.514145359848485e-10,0.0027224777124309216,0.0011931170569768894,0.01270748711178344,-0.0001151437005480655,1.325807177590258e-06,2.0310535186318236e-05,-0.0001995349461345663,-7.820416491195112e-05,-8.398776539462559e-05,8.49277838529084e-06,-3.2321066318093044e-05
3.606622869318182e-10,0.0026434981880137792,0.0011902334595611675,0.012758122839149772,-0.00011567889379588596,1.3381606469839864e-06,2.024812576858819e-05,-0.0002021101116091291,-7.91119515297941e-05,-8.498504803851783e-05,8.311927593479131e-06,-3.2784660060575855e-05
3.699100378787879e-10,0.002568313967118849,0.0011877414578407117,0.012809668923651195,-0.00011621927465810495,1.3506919802056037e-06,2.0185699588758056e-05,-0.00020468293406731671,-8.00177186991911e-05,-8.597907780252474e-05,8.131539161904735e-06,-3.324809717766806e-05
3.791577888257576e-10,0.002497205258977224,0.0011856645695147694,0.012862121298199795,-0.00011676456728685023,1.3633964173685376e-06,2.0123234307972652e-05,-0.00020725339308134107,-8.092145229577835e-05,-8.696983336505679e-05,7.95162261581992e-06,-3.37113992890789e-05
3.884055397727273e-10,0.0024304409197732895,0.0011840253248425721,0.012915475603409412,-0.00011731450278566837,1.3762692563848593e-06,2.0060708403643642e-05,-0.00020982146840720558,-8.182313833534184e-05,-8.795729360069492e-05,7.772187356641948e-06,-3.4174588148551714e-05
3.97653290719697e-10,0.0023682775100571586,0.0011828451865295657,0.012969727188018516,-0.00011786882001488938,1.3893058731702388e-06,1.9998101238868045e-05,-0.0002123871399565107,-8.27227629410526e-05,-8.894143753491244e-05,7.593242698469356e-06,-3.4637685583278815e-05
4.0690104166666667e-10,0.002310958378603897,0.0011821444719115712,0.013024871109964946,-0.00011842726638053373,1.4025017422365893e-06,1.9935393129770502e-05,-0.00021495038776709496,-8.362031230953178e-05,-8.992224429732283e-05,7.4147979058316255e-06,-3.510071343139347e-05
4.1614879261363637e-10,0.002258712775661937,0.001181942277688622,0.013080902138130143,-0.00011898959860441524,1.4158524576039858e-06,1.9872565410545175e-05,-0.00021751119197254207,-8.451577267578171e-05,-9.089969307350592e-05,7.236862232627083e-06,-3.556369347760225e-05
4.2539654356060607e-10,0.002211754998518428,0.0011822564074583841,0.013137814754769037,-0.00011955558347310649,1.4293537539594934e-06,1.980960049597469e-05,-0.0002200695327705864,-8.540913027702881e-05,-9.187376305548133e-05,7.0594449621947294e-06,-3.602664738703469e-05
4.346442945075758e-10,0.002170283572266239,0.0011831033022959303,0.013195603158640967,-0.00012012499856345029,1.4430015279868935e-06,1.974648194120642e-05,-0.00022262539039045987,-8.630037131553256e-05,-9.284443339090074e-05,6.882555448456385e-06,-3.6489596637399794e-05
