Time_s,V_source,V_node,V_out,I_ser,P_ser_W,P_ref_W,I_res1,I_res2,I_res3,I_res4,I_res5
0.0,0.005470531151916538,0.001218606490609691,0.007834154138158227,-8.73801036527345e-05,5.780672391623943e-07,2.1265475212717115e-05,-5.237047941787534e-05,-6.494818206403867e-05,-4.876955460919837e-05,-3.4268549936059627e-05,-1.587729559867738e-05
9.247750946969698e-12,0.00546657504653455,0.0012203765078651555,0.0078556579261285,-8.764075311403162e-05,5.815210606201384e-07,2.1170743256184805e-05,-5.4306960561732726e-05,-6.64710484954498e-05,-5.001112826820306e-05,-3.456848620566279e-05,-1.66790744915701e-05
1.8495501893939395e-11,0.005456951006798183,0.0012217668429090403,0.007878092447405016,-8.791871092981051e-05,5.85215566676376e-07,2.1076908833627563e-05,-5.6242303735042164e-05,-6.799219885180856e-05,-5.12503581911122e-05,-3.486569401525927e-05,-1.748014206556108e-05
2.7743252840909093e-11,0.005441689614203328,0.001222780336213629,0.007901460795127373,-8.821398043737597e-05,5.891529873501013e-07,2.0983969092648704e-05,-5.817648032919472e-05,-6.951159124257956e-05,-5.248718785486982e-05,-3.516013195464648e-05,-1.828047929485263e-05
3.699100378787879e-11,0.00542083935662575,0.0012234213156160968,0.007925766071863053,-8.85265454530043e-05,5.933354277056011e-07,2.089191966714786e-05,-6.010946261873715e-05,-7.10291846764899e-05,-5.3721561772747254e-05,-3.545175965049918e-05,-1.9080068780244582e-05
4.623875473484849e-11,0.005394466494714718,0.0012236955837645086,0.007951011374614788,-8.885637023973423e-05,5.977648626314027e-07,2.0800754692977563e-05,-6.204122375787254e-05,-7.25449390583881e-05,-5.495342549242956e-05,-3.574053776500814e-05,-1.987889475017795e-05
5.5486505681818185e-11,0.005362654879204509,0.001223610401495836,0.00797719977989314,-8.920339952974908e-05,6.024431315810443e-07,2.0710466827465132e-05,-6.397173777615201e-05,-7.405881518529122e-05,-5.6182725593066396e-05,-3.6026427993627786e-05,-2.0676943059551576e-05
6.473425662878788e-11,0.0053255057195233406,0.0012231744671792355,0.008004334328873253,-8.956755860116247e-05,6.07371933296129e-07,2.0621047272729427e-05,-6.590097957339757e-05,-7.557077474166318e-05,-5.7409409681330336e-05,-3.630939306197332e-05,-2.1474201186395937e-05
7.398200757575758e-11,0.005283137304175787,0.0012223978920659544,0.008032418012653995,-8.994875340890268e-05,6.125528205364375e-07,2.0532485802716766e-05,-6.782892491389192e-05,-7.708078029395648e-05,-5.8633426386522016e-05,-3.658939672190085e-05,-2.2270658226482958e-05
8.322975852272728e-11,0.005235684673478534,0.0012212921716957348,0.008061453757637132,-9.034687076926941e-05,6.179871948459674e-07,2.0444770793876598e-05,-6.975555041986337e-05,-7.858879528444876e-05,-5.9854725354753766e-05,-3.686640374680195e-05,-2.3066304885941007e-05
9.247750946969698e-11,0.0051832992453289305,0.0012198701534177317,0.008091444411044008,-9.076177859762604e-05,6.236763013878217e-07,2.0357889259392195e-05,-7.168083356428806e-05,-8.009478402439494e-05,-6.107325724223927e-05,-3.7140379926134546e-05,-2.386113347193855e-05
1.0172526041666667e-10,0.005126148394789185,0.0012181460000926445,0.00812239272658635,-9.119332619856949e-05,6.296212238845452e-07,2.0271826886877434e-05,-7.36047526630298e-05,-8.159871168651537e-05,-6.228897370771019e-05,-3.741129205920889e-05,-2.4655137881490656e-05
1.1097301136363637e-10,0.005064414988364912,0.0012161351500506702,0.008154301350308106,-9.164134460781167e-05,6.358228797040616e-07,2.0186568079447086e-05,-7.552728686632659e-05,-8.310054429682854e-05,-6.350182740397395e-05,-3.767910794824165e-05,-2.544831358843385e-05
1.2022076231060607e-10,0.004998296873962259,0.0012138542733884335,0.008187172806614396,-9.210564698488915e-05,6.42282015134495e-07,2.01020960000624e-05,-7.744841614963103e-05,-8.460024872583673e-05,-6.471177196862287e-05,-3.794379639068292e-05,-2.6240657628607155e-05
1.2946851325757575e-10,0.004928006327602038,0.001211321224696132,0.008221009484504145,-9.258602905571259e-05,6.489992008940708e-07,2.0018392619050278e-05,-7.936812130380388e-05,-8.609779267906299e-05,-6.591876201389621e-05,-3.820532717081875e-05,-2.7032168583267505e-05
1.3871626420454546e-10,0.004853769458072419,0.0012085549923144987,0.008255813624022255,-9.308226960385347e-05,6.55974827924704e-07,1.9935438764689462e-05,-8.12863839246561e-05,-8.759314468693466e-05,-6.712275311569439e-05,-3.846367105064389e-05,-2.782284656075928e-05
1.4796401515151516e-10,0.004775825570797085,0.0012055756442292294,0.008291587302947951,-9.359413100936091e-05,6.632091035199781e-07,1.9853214176752652e-05,-8.32031864018278e-05,-8.90862740940029e-05,-6.832370180173514e-05,-3.871879975999451e-05,-2.861269317644956e-05
1.5721176609848486e-10,0.004694426492295156,0.001202404270718611,0.008328332423735367,-9.412135983379665e-05,6.707020478398709e-07,1.9771697562888912e-05,-8.511851190698842e-05,-9.057715104748056e-05,-6.952156553883912e-05,-3.8970685985926816e-05,-2.9401711530931412e-05
1.6645951704545457e-10,0.0046098358567036035,0.0011990629238781926,0.008366050700722914,-9.466368745006895e-05,6.784534908656931e-07,1.969086665772566e-05,-8.703234438133556e-05,-9.20657464850797e-05,-7.071630271932676e-05,-3.9219303361320885e-05,-3.0189906186489523e-05
1.7570726799242425e-10,0.004522328355930868,0.0011955745541542163,0.008404743647628502,-9.522083071554992e-05,6.864630698494893e-07,1.9610698284564835e-05,-8.894466852237009e-05,-9.355203212212022e-05,-7.190787264650188e-05,-3.946462645268561e-05,-3.097728314181555e-05
1.8495501893939395e-10,0.004432188955101751,0.0011919629440253327,0.008444412565347175,-9.579249268685554e-05,6.947302273122599e-07,1.953116841954323e-05,-9.085546976991403e-05,-9.503598043788211e-05,-7.309623551919528e-05,-3.970663074713657e-05,-3.176384980495142e-05
1.9420276988636365e-10,0.004339712075049102,0.0011882526389801458,0.008485058530069117,-9.637836337457344e-05,7.032542096450994e-07,1.9452252258120137e-05,-9.276473429133853e-05,-9.651756466116641e-05,-7.428135241533602e-05,-3.994529263851442e-05,-3.2549614964433214e-05
2.0345052083333333e-10,0.004245200743696971,0.0011844688759452653,0.008526682381735562,-9.697812053612856e-05,7.12034066366522e-07,1.937392428375323e-05,-9.46724489659667e-05,-9.799675875502778e-05,-7.546318527451569e-05,-4.018058941260753e-05,-3.33345887586015e-05
2.1269827178030304e-10,0.004148965718270208,0.0011806375093263884,0.00856928471285096,-9.759143050488132e-05,7.210686500878532e-07,1.9296158338614094e-05,-9.657860136860786e-05,-9.947353740063861e-05,-7.664169687950798e-05,-4.0412499231442006e-05,-3.4118782643037795e-05
